S.NO/Digits,Input State,APU,MAIN LG,2XA,22XN,BTC                           Lockout,BUS TIE PB                      10XU ,3XS,4XS,3XG,5XG,SMOKE Config Button    13XU,Gen1 Ready (10J),GEN1 PB ON,GEN2 Ready(10J),GEN2 PB ON
261,26.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
262,26.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
263,26.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
264,26.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
265,26.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
266,26.6,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
267,26.7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
268,26.8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
269,26.9,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
270,27,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
271,27.1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
272,27.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
273,27.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
274,27.4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
275,27.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
276,27.6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
277,27.7,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
278,27.8,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
279,27.9,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
280,28,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
281,28.1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
282,28.2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
283,28.3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
284,28.4,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
285,28.5,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
286,28.6,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
287,28.7,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
288,28.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
289,28.9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
290,29,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
291,29.1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
292,29.2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
293,29.3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
294,29.4,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
295,29.5,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
296,29.6,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
297,29.7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
298,29.8,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
299,29.9,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
300,30,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
301,30.1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
302,30.2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
303,30.3,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
304,30.4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
305,30.5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
